Test ID,Section,Tier / Login,Description,Steps,Expected Result,Priority,Status,Tested By,Date,Browser,Bug Ref,Notes
SM-01,Smoke,Any,Health check responds,GET https://myclinic.silverwebbuzz.com/health,Returns 200 with JSON {db: ok, redis: ok or skipped, storage: ok},P0,,,,,,
SM-02,Smoke,Any,Login page loads,Visit /login,Login form renders; no console errors; no 500,P0,,,,,,
SM-03,Smoke,Any,Static assets load,Open /login DevTools Network tab,All CSS/JS return 200; no 404s,P0,,,,,,
SM-04,Smoke,Any,HTTPS enforced,Visit http://myclinic.silverwebbuzz.com,Redirects to https://,P0,,,,,,
SM-05,Smoke,Any,404 for unknown route,Visit /this-does-not-exist,Returns custom 404 page (not raw server error),P1,,,,,,
AUTH-01,Auth,Practice owner@wellness.test,Login with valid credentials,Enter email + Password@123 then Sign In,Redirects to /dashboard; user name shown in topbar,P0,,,,,,
AUTH-02,Auth,Any,Login with wrong password,owner@wellness.test + wrongpass,Shows generic error (NOT username vs password specific); no lockout info leak,P0,,,,,,
AUTH-03,Auth,Any,Login with non-existent email,nobody@nowhere.test + anypass,Same generic error as AUTH-02 (no user enumeration),P1,,,,,,
AUTH-04,Auth,Any,Rate limit on login,Submit 10 wrong passwords in 1 minute,After threshold (e.g. 5) requests are throttled / temporarily blocked,P1,,,,,,
AUTH-05,Auth,Any,CSRF protection on login,Inspect login form,Hidden CSRF token present; submitting without it returns 419/403,P1,,,,,,
AUTH-06,Auth,Practice,Forgot password flow,Click Forgot password; enter owner@wellness.test,Email sent (or written to storage/logs/mail.log); reset link works once then expires,P1,,,,,,
AUTH-07,Auth,Practice,Reset password using token,Open reset link from log; set new password; login,New password works; old password rejected,P1,,,,,,
AUTH-08,Auth,Practice,Change password from settings,/settings/password,Old password required; new password must meet policy; logs out other sessions,P1,,,,,,
AUTH-09,Auth,Any,Logout clears session,Click Logout,JWT cookies cleared; protected routes redirect to /login,P0,,,,,,
AUTH-10,Auth,Practice,Multi-device sessions list,/settings/sessions,Shows current device + any other sessions; revoke works,P2,,,,,,
AUTH-11,Auth,Any,Google OAuth button visible only when configured,Check login page,Button shows only if GOOGLE_CLIENT_ID is set,P2,,,,,,
AUTH-12,Auth,Any,Expired JWT auto-refreshes,Wait for access token TTL (15 min) then make a request,Silent refresh via refresh token; user not logged out,P1,,,,,,
ONB-01,Onboarding,Any (new register),Register new clinic,Click Register; fill name/email/phone/password,Account created; redirected to /onboarding/plan-selection,P0,,,,,,
ONB-02,Onboarding,Any,Plan selection,Choose Free plan,Moves to clinic setup step,P0,,,,,,
ONB-03,Onboarding,Any,Clinic setup,Fill clinic name / specialty / address,Saves; advances to next step,P0,,,,,,
ONB-04,Onboarding,Any,Working hours setup,Toggle days; set open/close times,Saved correctly in DB; matches selection on reload,P1,,,,,,
ONB-05,Onboarding,Any,Specialty config,Pick specialty + fields,Patient form reflects chosen specialty,P1,,,,,,
ONB-06,Onboarding,Any,Skip to dashboard,Complete final step,Dashboard loads with empty-state widgets and getting-started checklist,P0,,,,,,
DASH-01,Dashboard,Practice owner@wellness.test,Stat tiles populated,Visit /dashboard,Tiles show non-zero counts (patients/appts/revenue) from seeded data,P0,,,,,,
DASH-02,Dashboard,Practice,Today's queue widget,View dashboard,Lists today's scheduled appointments or empty state,P1,,,,,,
DASH-03,Dashboard,Practice,Low stock alert,View dashboard,If pharmacy stock < threshold an alert tile appears,P1,,,,,,
DASH-04,Dashboard,Free sunrise,Free-tier limits banner,Login as owner@sunrise.test,Banner shows patient cap usage (X/100); upgrade CTA visible,P1,,,,,,
PAT-01,Patients,Practice,Patient list loads,/patients,Shows ~600 seeded patients paginated,P0,,,,,,
PAT-02,Patients,Practice,Patient search by name,Type a name in search,Filters within ~300ms; relevant results shown,P0,,,,,,
PAT-03,Patients,Practice,Patient search by phone,Search 70000xxxxx,Matches by phone field,P1,,,,,,
PAT-04,Patients,Practice,Add new patient (wizard),Click New Patient; complete 3 steps,Patient created; UHID assigned; QR token generated,P0,,,,,,
PAT-05,Patients,Practice,Patient profile tabs,Open a patient,Tabs render: Overview / Visits / Rx / Lab / Invoices / Photos as per modules,P0,,,,,,
PAT-06,Patients,Practice,Patient QR scan page,Visit /qr/{token},Shows patient summary; tenant-scoped lookup,P1,,,,,,
PAT-07,Patients,Free sunrise,Patient cap enforced,Try adding 101st patient,Hard block with upgrade prompt,P1,,,,,,
PAT-08,Patients,Practice,Edit allergies,Patient profile > Allergies > Add,Saved with severity; appears in EMR Rx warnings,P1,,,,,,
PAT-09,Patients,Practice,Upload patient document,Patient profile > Documents > Upload PDF,File saved; download works,P1,,,,,,
APPT-01,Appointments,Practice nehakapoor@wellness.test,Calendar view loads,/appointments,FullCalendar renders with seeded appointments,P0,,,,,,
APPT-02,Appointments,Practice,Book new appointment,/appointments/new > pick patient + doctor + slot,Created; token number assigned; appears in queue,P0,,,,,,
APPT-03,Appointments,Practice,Walk-in appointment,Book with type=walk-in,Auto-assigned next token; bypasses slot picker,P1,,,,,,
APPT-04,Appointments,Practice,Cancel appointment,Open appt; click Cancel,Status updates to cancelled; slot freed,P1,,,,,,
APPT-05,Appointments,Practice,Doctor leave conflict,Book appt on a leave day for doctor,Blocked with leave reason or warning shown,P2,,,,,,
APPT-06,Appointments,Practice,Today's queue,/queue,30-sec AJAX refresh; current patient highlighted,P1,,,,,,
APPT-07,Appointments,Any (public),Public queue display,/queue/display?clinic=wellness,Renders without login; auto-refreshes,P2,,,,,,
APPT-08,Appointments,Any (public),Public booking page,/book/wellness,Loads without login; submits to create lead/appt,P1,,,,,,
EMR-01,EMR,Practice drsureshiyer@wellness.test,Start visit from appointment,Click Start in queue,Lands on EMR screen for that patient,P0,,,,,,
EMR-02,EMR,Practice doctor,Record vitals,Enter BP/weight/temperature; tab away,Auto-save indicator; BMI auto-calculated,P0,,,,,,
EMR-03,EMR,Practice doctor,Diagnosis with ICD-10,Type partial diagnosis name,Autocomplete shows ICD-10 codes; selected code saved,P1,,,,,,
EMR-04,EMR,Practice doctor,Add prescription line,Search drug; pick frequency + duration,Saved; appears in patient Rx history,P0,,,,,,
EMR-05,EMR,Clinic dranitasharma@carepoint.test,Homeopathic Rx mode,Open visit > Rx,Shows remedies + potencies (NOT drug search),P0,,,,,,
EMR-06,EMR,Practice doctor,Auto-save behaviour,Type then leave page idle 30s,Saved without explicit click; reload shows latest,P1,,,,,,
EMR-07,EMR,Practice doctor,Finalize visit,Click Finalize,Status -> completed; visit becomes read-only; Rx PDF generated,P0,,,,,,
EMR-08,EMR,Free sunrise,EMR module hidden,Login as sunrise owner,EMR menu item not present in nav,P0,,,,,,
EMR-09,EMR,Practice admin,Admin unlock visit,Open finalized visit as admin,Unlock button available; unlocking is audit-logged,P2,,,,,,
EMR-10,EMR,Practice doctor,Drug allergy warning,Prescribe drug listed in patient allergies,Warning shown before save,P1,,,,,,
BILL-01,Billing,Practice owner@wellness.test,Invoice list,/billing,Shows seeded invoices with filters,P0,,,,,,
BILL-02,Billing,Practice,Auto-invoice on visit complete,Finalize a visit,Draft invoice with consultation fee created,P0,,,,,,
BILL-03,Billing,Practice,Edit invoice items,Open invoice > add procedure item,Totals recompute; GST applied,P1,,,,,,
BILL-04,Billing,Practice,Record payment cash,Mark paid by cash,Status -> paid; payment row created; advance_paid updated,P0,,,,,,
BILL-05,Billing,Practice,Partial payment,Pay half the total,Status -> partial; balance_due correct,P1,,,,,,
BILL-06,Billing,Practice,Excel export,Click Export,Downloads .xlsx with filtered rows,P2,,,,,,
BILL-07,Billing,Practice,Tally export,Click Tally export,Generates Tally-compatible XML/CSV,P2,,,,,,
BILL-08,Billing,Practice owner,Doctor incentive calc,/billing/incentives,Jan-Apr already calculated; can run for May,P1,,,,,,
BILL-09,Billing,Practice owner,Payslip PDF,Generate payslip for a doctor,PDF downloads with computed incentive,P2,,,,,,
LAB-01,Lab,Practice owner@wellness.test,Lab catalog,/lab/catalog,Shows seeded global tests (CBC LFT KFT TSH etc.),P0,,,,,,
LAB-02,Lab,Practice doctor,Order lab from visit,Visit > Lab > Order test,Order created with status=ordered; barcode generated,P0,,,,,,
LAB-03,Lab,Practice (labtech role),Sample collection,Mark sample collected,Status -> sample_collected; timestamp recorded,P1,,,,,,
LAB-04,Lab,Practice,Enter lab result,Open order; enter values,Each value flagged normal/low/high vs reference range,P0,,,,,,
LAB-05,Lab,Practice,Critical value alert,Enter value in critical range (e.g. HbA1c > 10),Triggers critical alert / notification to ordering doctor,P1,,,,,,
LAB-06,Lab,Any (no login),Public lab report share link,Open /lab/report/{token},Renders report without login; expires after 24h,P1,,,,,,
LAB-07,Lab,Free sunrise,Lab module hidden,Login as sunrise,Lab menu hidden,P1,,,,,,
PH-01,Pharmacy,Practice owner@wellness.test,Pharmacy inventory list,/pharmacy/inventory,Shows seeded batches with stock levels,P0,,,,,,
PH-02,Pharmacy,Practice,Low-stock filter,Filter by low stock,Only drugs with qty < threshold shown,P1,,,,,,
PH-03,Pharmacy,Practice,POS sale,/pharmacy/pos > add drug > checkout,Sale created; inventory decremented FIFO by expiry,P0,,,,,,
PH-04,Pharmacy,Practice,POS sale UPI payment,Pay by UPI,Recorded as upi; receipt printed,P1,,,,,,
PH-05,Pharmacy,Practice,Narcotic register (Schedule H/H1),Sell a Schedule H drug,Narcotic register row created; balance_after correct,P1,,,,,,
PH-06,Pharmacy,Practice,Expiry warning,Try selling expired batch,Blocked or warning,P1,,,,,,
PH-07,Pharmacy,Free sunrise,Pharmacy hidden,Login as sunrise,Pharmacy menu hidden,P1,,,,,,
CRM-01,CRM,Practice owner@wellness.test,Leads kanban,/crm,Columns: new / contacted / follow_up / converted / lost with seeded leads,P0,,,,,,
